,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a mixed bag,104,0.57,,basket,0.02,blessing,0.02,breed,0.13,cat,0.01,chameleon,0.01,child,0.01,drink,0.01,emotion/emotions,0.02,girl,0.01,individual,0.01,mess,0.01,message,0.01,nut,0.01,person,0.04,race,0.08,signal,0.02,sort,0.01,terrior,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a mutual admiration society,107,0.32,,club,0.02,completely,0.01,connection,0.01,couple,0.22,duo,0.03,fan,0.01,for,0.02,friendship,0.01,gang,0.01,girl,0.01,group,0.04,lover,0.01,match,0.01,of,0.01,pair,0.07,people,0.01,point,0.01,relationship,0.01,supposedly,0.01,team,0.07,there,0.02,together,0.05,too,0.01,trust,0.01,type,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a needle in a haystack,108,0.99,,thread,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a nervous wreck,108,0.70,,boy,0.02,kid,0.01,kitten,0.01,man,0.01,mess,0.02,nelly,0.18,person,0.05,woman,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a no-win situation,103,0.94,,bid,0.01,chance,0.01,game,0.01,scenario,0.02,win,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a one-man band,104,0.14,,army,0.26,bandit,0.01,circus,0.01,crew,0.01,gang,0.01,machine,0.02,operation,0.02,parade,0.01,person,0.01,pony,0.01,show,0.42,stand,0.01,team,0.05,wreck,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a party pooper,111,0.21,,addict,0.01,animal,0.65,boy,0.02,chick,0.01,crasher,0.01,event,0.01,favorite,0.01,girl,0.05,goer,0.01,hound,0.01,napper,0.01,rocker,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a piece of cake,108,0.64,,art,0.02,bread,0.01,crap,0.05,junk,0.04,luck,0.02,paper,0.03,pie,0.01,shit,0.06,trash,0.03,work,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a powder keg,105,0.52,,aid,0.01,ball,0.01,blue,0.01,cake,0.02,detergent,0.01,donut,0.06,finish,0.01,formula,0.01,gun,0.03,house,0.01,icing,0.01,job,0.01,lesson,0.01,line,0.01,maker,0.01,man,0.02,monkey,0.01,player,0.01,puff,0.15,room,0.01,sniffer,0.01,storm,0.01,substance,0.01,sugar,0.01,white,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a quick fix,106,0.11,,answer,0.01,book,0.01,break,0.01,buck,0.01,change,0.01,dash,0.01,day,0.01,deal,0.02,death,0.02,decision,0.04,dinner,0.01,draw,0.04,end,0.01,fifty,0.01,fight,0.01,film,0.01,finish,0.01,flight,0.01,fling,0.01,Fox,0.01,fuck,0.01,game,0.01,gesture,0.01,getaway,0.01,glance,0.01,hit,0.03,jaunt,0.01,job,0.02,kill,0.01,lesson,0.01,look,0.01,lunch,0.02,match,0.01,meeting,0.02,one,0.02,plan,0.02,play,0.01,question,0.01,read,0.02,reign,0.01,return,0.01,romp,0.01,run,0.02,settlement,0.01,shot,0.03,side,0.01,sleep,0.01,solution,0.01,start,0.03,step,0.01,stop,0.03,study,0.01,take,0.01,task,0.03,test,0.03,thought,0.01,trip,0.05,turn,0.02,walk,0.01,war,0.01,win,0.01,workout,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a race against time,107,0.96,,cancer,0.01,clock,0.02,humanity,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a ray of sunshine,108,0.79,,hope,0.08,light,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a recipe for disaster,107,0.88,,bread,0.01,chicken,0.01,death,0.01,destruction,0.01,love,0.01,macaroni,0.01,mouse,0.01,soup,0.02,spaghetti,0.01,success,0.02,trouble,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a recipe for success,108,0.06,,biscuits,0.01,cake,0.02,cookies,0.01,destruction,0.02,disaster,0.79,dinner,0.01,food,0.02,fudge,0.01,love,0.01,rice,0.01,soup,0.01,spaghetti,0.01,trouble,0.01,two,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a riot,111,0.00,,bastard,0.02,beauty,0.03,bird,0.01,bitch,0.02,bore,0.02,boss,0.01,boy,0.01,boyscout,0.01,bum,0.01,captain,0.01,catch,0.01,champion,0.01,charmer,0.01,cheater,0.01,cheerleader,0.01,clown,0.01,cow,0.01,dancer,0.02,dear,0.01,dick,0.01,dog,0.01,doll,0.01,dork,0.01,extremist,0.01,fake,0.01,farmer,0.01,fighter,0.01,fireman,0.01,fool,0.02,fox,0.01,freak,0.01,genius,0.01,girl,0.01,go-getter,0.01,handful,0.01,hero,0.02,homosexual,0.01,janitor,0.01,jerk,0.08,joy,0.01,kidder,0.01,king,0.01,lady,0.02,liar,0.01,looker,0.03,loser,0.02,lover,0.01,lumberjack,0.01,man,0.05,master,0.01,mom,0.01,moron,0.02,mother,0.01,nerd,0.01,newbie,0.01,nightmare,0.01,nuisance,0.01,nurse,0.01,nut,0.01,pal,0.01,peach,0.01,rogue,0.01,skier,0.01,snob,0.01,star,0.02,stud,0.02,stunner,0.01,target,0.01,teacher,0.01,tiger,0.01,whore,0.02,winner,0.08,witch,0.02,woman,0.01,,
Be a rule of thumb,108,0.88,,engagement,0.01,game,0.01,law,0.05,nine,0.01,order,0.01,proportions,0.01,stupidity,0.01,talking,0.01,threes,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a safe bet,111,0.56,,act,0.01,choice,0.01,deal,0.01,harbor,0.01,haven,0.07,here,0.01,home,0.01,house,0.07,investment,0.01,job,0.01,journey,0.02,place,0.14,town,0.01,trip,0.04,zone,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a shadow of one's former self,111,0.97,,boss,0.02,friend,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a shot in the dark,107,0.89,,air,0.03,arm,0.03,back,0.01,head,0.02,heart,0.01,leg,0.01,wind,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a shoulder to cry on,103,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a sight for sore eyes,109,0.94,,feeling,0.01,goal,0.01,punishment,0.01,sight,0.01,thumb,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a smart alec,105,0.11,,ass,0.20,boy,0.03,cat,0.01,choice,0.01,cookie,0.38,egg,0.01,fellow,0.01,guy,0.04,kid,0.03,man,0.10,mouth,0.01,one,0.01,person,0.03,player,0.01,puppy,0.01,student,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a smooth ride,107,0.49,,call,0.01,day,0.01,edge,0.02,going,0.01,kiss,0.01,landing,0.03,move,0.03,operation,0.04,plan,0.01,road,0.02,sail/sailing,0.10,shave,0.01,surface,0.01,talk,0.01,transaction,0.02,transition,0.16,trip,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a step in the right direction,107,0.98,,hand,0.01,side,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a stumbling block,108,0.63,,act,0.04,affair,0.01,art,0.01,distance,0.01,drunk,0.01,effort,0.01,failure,0.01,feast,0.01,fool,0.01,game,0.02,horse,0.01,loss,0.01,man,0.01,match,0.01,mess,0.08,mistake,0.01,move,0.01,revelation,0.01,rock,0.02,speech,0.01,start,0.01,step,0.01,stone,0.01,time,0.01,walk,0.01,win,0.01,word,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a sucker for it,106,0.03,,animals,0.01,babies,0.01,beauty,0.01,blondes,0.02,boys,0.01,brunettes,0.01,candy,0.05,chicken,0.01,compliments,0.02,dessert,0.01,dogs,0.01,everything,0.01,flattery,0.02,flowers,0.02,fools,0.01,her,0.08,him,0.08,jokes,0.01,kids,0.01,lollipops,0.02,looks,0.02,love,0.15,men,0.01,money,0.02,peas,0.01,poetry,0.01,prizes,0.01,punishment,0.16,puppies,0.02,redheads,0.02,romance,0.02,sales,0.01,smiles,0.01,sobs,0.01,sympathy,0.01,tears,0.01,tits,0.01,uniforms,0.01,violins,0.01,women,0.03,words,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a thorn in one's side,111,0.91,,ass,0.02,back,0.01,eye,0.01,feather,0.01,foot,0.02,plans,0.01,stack,0.01,toe,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a three-ring circus,107,0.89,,act,0.02,binder,0.03,circle,0.01,club,0.01,flag,0.01,group,0.01,power,0.01,team,0.01,trio,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a tough cookie,111,0.77,,act,0.01,bird,0.03,boss,0.01,broad,0.01,client,0.01,cracker,0.02,customer,0.01,egg,0.01,girl,0.02,number,0.01,nut,0.05,one,0.01,opponent,0.01,sell,0.02,woman,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a vicious circle,105,0.17,,act,0.01,attack,0.07,battle,0.03,cat,0.01,cut,0.01,cycle,0.37,day,0.01,dog,0.03,fight,0.08,game,0.01,hit,0.01,idea,0.01,kick,0.01,lie,0.05,life,0.01,melee,0.01,moment,0.01,move,0.01,remark,0.01,rumor,0.02,storm,0.02,tale,0.01,threat,0.01,win,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a wet blanket,108,0.41,,baby,0.01,back,0.02,bag,0.01,biscuit,0.01,cat,0.02,diaper,0.01,dog,0.08,dream,0.03,fish,0.01,girl,0.01,hen,0.01,mess,0.03,mouth,0.01,noodle,0.12,nurse,0.04,person,0.01,puppy,0.01,rag,0.07,rat,0.02,rug,0.01,seal,0.02,tail,0.01,towel,0.02,whistle,0.01,wimp,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a wild card,107,0.13,,animal,0.05,beast,0.02,cat,0.01,chick,0.01,child,0.31,dancer,0.01,fire,0.01,flower,0.02,girl,0.04,goose,0.03,horse,0.04,oat,0.01,one,0.16,ride,0.01,rose,0.01,shot,0.01,thing,0.07,woman,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a window of opportunity,107,0.72,,doom,0.01,dream,0.01,flowers,0.02,fog,0.01,glass,0.07,glory,0.01,hope,0.02,lies,0.01,light,0.01,love,0.01,misery,0.01,people,0.01,repertoire,0.01,school,0.01,sin,0.01,time,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a win-win situation,106,0.98,,moment,0.01,scenario,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be across the board,106,0.06,,boat,0.01,border,0.01,bough,0.01,bridge,0.01,country,0.02,fence,0.01,field,0.02,lake,0.02,line,0.05,ocean,0.08,pond,0.13,river,0.05,road,0.04,room,0.07,sea,0.01,sky,0.01,store,0.01,street,0.19,table,0.01,universe,0.04,way,0.12,world,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be ahead of one's time,108,0.68,,brother,0.02,child,0.01,class,0.06,friend,0.01,game,0.11,goal,0.01,league,0.01,leg,0.01,mark,0.01,peers,0.02,plan,0.01,rivals,0.01,self,0.03,team,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be ahead of the game,105,0.33,,car,0.01,class,0.05,clock,0.01,competition,0.01,crowd,0.02,curb,0.01,curve,0.30,dark,0.01,mark,0.01,pack,0.15,polls,0.01,sky,0.01,times,0.06,track,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be alive and kicking,107,0.16,,alert,0.01,breathing,0.03,going,0.01,great,0.01,happy,0.01,licking,0.01,well,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be all dressed up with nowhere to go,112,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be all ears,104,0.12,,aflutter,0.02,aglow,0.03,alone,0.01,astir,0.01,atwitter,0.01,business,0.01,charm,0.01,cheer,0.01,crazy,0.02,done,0.06,ears,0.07,emotions,0.01,excited,0.01,good,0.06,in,0.11,it,0.01,legs,0.01,male,0.01,man,0.03,nuts,0.01,quiet,0.01,rage,0.01,ready,0.01,set,0.03,smile/smiles,0.03,smoke,0.01,sweaty,0.02,sweet,0.01,talk,0.02,tears,0.01,that,0.13,there,0.04,thumbs,0.05,upset,0.04,wet,0.03,woman,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be all gloom and doom,111,0.89,,depressed,0.01,glory,0.01,glum,0.01,gray,0.01,joy,0.01,misery,0.01,sad,0.03,sadness,0.01,sorrow,0.01,sunshine,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be all in a day's work,110,0.86,,job,0.01,notice,0.01,time,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be all over him/her/me/them,102,0.54,,board,0.01,cooked,0.01,due,0.01,finished,0.01,here,0.01,it,0.31,joyed,0.01,place,0.03,side,0.01,Texas,0.01,that,0.02,town,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be all over the place,108,0.59,,bed,0.02,boy,0.01,chocolate,0.01,globe,0.01,guy,0.01,house,0.01,it,0.01,job,0.01,map,0.10,matter,0.01,moon,0.04,news,0.06,plan,0.01,puppy,0.01,road,0.08,sides,0.01,web,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Be all-singing, all-dancing",106,0.07,,ah,0.01,all-knowing,0.04,along,0.10,always,0.01,amen,0.01,angels,0.01,around,0.01,artists,0.01,birds,0.01,blues,0.02,cheerily,0.01,country,0.01,dancing,0.03,dixie,0.01,everyone,0.01,falalala,0.01,hallelujah,0.03,halo,0.01,happily,0.06,happy,0.01,hello,0.01,hymns,0.01,it,0.01,joyfully,0.01,joyously,0.01,kumbaya,0.02,laughing,0.02,loud,0.04,loudly,0.11,merrily,0.02,noisily,0.01,poorly,0.01,praise/praises,0.06,sensations,0.01,shout,0.01,songs,0.08,strangely,0.01,together,0.06,tunes,0.01,well,0.01,yes,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be an acquired taste,108,0.94,,illness,0.01,skill,0.02,stolen,0.01,talent,0.01,time,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be an eager beaver,109,0.84,,bee,0.01,boy,0.01,drunk,0.01,girl,0.01,lady,0.01,learner,0.02,man,0.02,one,0.01,outlooker,0.01,participant,0.01,person,0.01,pleaser,0.01,rat,0.01,woman,0.01,worker,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be an early bird,110,0.34,,achiever,0.01,arrival,0.01,bloomer,0.03,chicken,0.01,child,0.01,comer,0.01,death,0.01,learner,0.01,riser,0.54,sign,0.01,start,0.01,tree,0.01,worm,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be an item,104,0.42,,absolute,0.01,accident,0.02,act,0.01,airplane,0.01,alligator,0.01,amalgamation,0.01,anchor,0.01,angel,0.02,animal,0.01,anomaly,0.02,ape,0.01,apple,0.03,argument,0.02,army,0.01,artist,0.01,association,0.01,astronaut,0.01,couple,0.01,eagle,0.01,egg,0.01,elevator,0.01,enemies,0.01,enemy,0.01,enigma,0.02,error,0.01,event,0.01,evil,0.02,example,0.02,expendable,0.01,eye,0.01,eyeful,0.01,eyesore,0.01,group,0.01,issue,0.01,obstacle,0.01,octuplet,0.01,oddity,0.04,offer,0.01,orange,0.01,orchestra,0.01,outcast,0.01,outrage,0.01,owl,0.01,pair,0.01,roll,0.01,team,0.02,unit,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be an open book,105,0.92,,assault,0.01,can,0.01,case,0.01,door,0.01,man,0.01,minded,0.01,oven,0.01,target,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be an unholy alliance,107,0.17,,act,0.05,action,0.01,affair,0.03,agreement,0.01,air,0.01,arrangement,0.01,child,0.01,connection,0.01,day,0.03,desire,0.02,dream,0.01,event,0.01,fit,0.01,game,0.01,ghost,0.01,god,0.01,grail,0.01,ground,0.01,law,0.01,life,0.01,mark,0.01,marriage,0.06,matrimony,0.03,mess,0.07,moment,0.01,nature,0.01,night,0.01,pact,0.03,pairing,0.01,party,0.01,person,0.01,situation,0.01,smell,0.02,terror,0.01,thing,0.01,thought,0.01,trinity,0.02,union,0.17,vow,0.01,war,0.05,wish,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be anybody's guess,111,0.47,,ballgame,0.02,business,0.03,call,0.01,fault,0.03,game/games,0.42,idea,0.01,name,0.01,time,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be as tough as boots,106,0.00,,cookie,0.01,kevlar,0.01,leather,0.01,mule,0.01,nails,0.92,rock,0.01,rocks,0.03,rubber,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be asking for it,107,0.40,,alot,0.01,answers,0.02,blood,0.01,change,0.01,dollars,0.01,favors,0.01,food,0.01,forgiveness,0.04,help,0.07,her,0.03,money,0.10,more,0.04,much,0.01,nothing,0.01,permission,0.02,seconds,0.01,time,0.01,trouble,0.17,verification,0.01,you,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be at a loss for words,107,0.96,,her,0.02,money,0.01,weight,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
